symbol,lag_-50,lag_-20,lag_-10,lag_-5,lag_-1,lag_+1,lag_+5,lag_+10,lag_+20,lag_+50,max_abs
SNACKPACK_STRAWBERRY,0.004,0.006,-0.0016,-0.0011,-0.0082,0.0002,-0.0031,-0.0013,0.0108,0.0022,0.0108
TRANSLATOR_GRAPHITE_MIST,0.0026,0.0092,-0.0001,-0.0013,0.0006,0.0058,0.0087,-0.0047,0.0107,0.0007,0.0107
GALAXY_SOUNDS_BLACK_HOLES,0.0051,-0.0032,0.0006,0.0042,0.0107,-0.002,0.0008,-0.0029,0.0089,0.0018,0.0107
PEBBLES_XL,-0.0046,0.0082,0.0002,0.0011,0.0066,0.0103,-0.0013,-0.0047,-0.0012,-0.004,0.0103
SLEEP_POD_COTTON,0.0006,0.0071,0.0037,-0.0017,-0.0102,0.0062,0.0024,0.0001,0.0083,-0.0047,0.0102
TRANSLATOR_ECLIPSE_CHARCOAL,0.0062,0.0053,0.0015,0.0102,-0.0,-0.0074,-0.0007,-0.006,0.0101,0.0038,0.0102
MICROCHIP_OVAL,0.0001,0.0035,-0.0077,0.0066,0.0027,0.0088,0.0051,-0.001,0.0018,-0.0101,0.0101
PANEL_1X4,-0.0022,-0.0002,0.004,0.0027,-0.0078,-0.0069,0.01,-0.0031,-0.0051,-0.003,0.01
GALAXY_SOUNDS_DARK_MATTER,-0.0017,-0.0066,0.0036,-0.003,-0.0094,-0.0001,0.0035,0.0083,-0.0073,-0.0067,0.0094
SNACKPACK_CHOCOLATE,0.0012,-0.0011,0.0008,-0.0051,0.0003,-0.0042,-0.0002,0.0017,0.0073,-0.0091,0.0091
PANEL_2X2,0.004,-0.0052,0.0088,-0.0027,-0.0071,0.0002,0.0039,-0.0014,-0.0032,-0.0081,0.0088
ROBOT_VACUUMING,-0.0088,-0.0057,-0.0023,0.0002,0.0027,-0.0038,0.0041,0.0001,0.0086,0.0003,0.0088
PANEL_2X4,-0.0087,0.0041,0.0013,-0.0001,-0.0063,-0.0031,0.0066,-0.0064,0.0062,-0.0029,0.0087
UV_VISOR_RED,0.0036,0.0031,-0.0006,-0.0006,-0.0086,-0.0019,0.0031,-0.0021,0.0034,-0.0079,0.0086
SNACKPACK_PISTACHIO,0.0031,0.0048,-0.0028,0.0008,-0.0086,-0.0038,-0.0007,-0.0002,0.0071,0.0005,0.0086
MICROCHIP_CIRCLE,-0.0001,0.0085,0.006,-0.0021,0.0015,0.0007,-0.0016,0.0045,0.0004,-0.0042,0.0085
OXYGEN_SHAKE_MINT,0.0071,0.0046,0.0016,-0.0003,-0.0049,-0.0062,0.0053,-0.0085,0.0013,-0.0062,0.0085
SLEEP_POD_LAMB_WOOL,0.0014,-0.0022,-0.0081,0.0037,-0.0068,-0.0028,0.0075,-0.0009,-0.0013,0.0064,0.0081
PANEL_4X4,0.0001,-0.0029,-0.008,-0.0038,-0.0004,0.0053,-0.0078,0.0018,-0.0066,0.0043,0.008
SLEEP_POD_SUEDE,0.006,0.0071,-0.0079,0.0005,0.0058,0.0008,0.006,0.0036,0.0009,-0.0066,0.0079
PEBBLES_XS,-0.0032,0.0057,-0.0016,-0.0068,-0.0036,-0.0008,-0.0005,-0.0006,0.0075,0.0013,0.0075
UV_VISOR_ORANGE,-0.0017,0.0026,-0.0023,-0.0007,-0.0009,-0.0026,-0.0061,-0.0072,-0.001,0.0019,0.0072
UV_VISOR_YELLOW,0.0027,0.0035,-0.0002,0.0008,-0.0019,-0.0003,0.0013,0.0003,-0.0071,0.0065,0.0071
ROBOT_MOPPING,-0.0035,0.0021,0.0006,-0.0064,0.0019,-0.0051,0.0035,-0.0044,-0.0066,-0.0019,0.0066
SLEEP_POD_NYLON,-0.0041,0.0052,-0.001,0.0058,-0.0062,-0.0001,-0.0036,-0.006,0.0004,0.0029,0.0062
PEBBLES_S,-0.0006,0.0019,0.0045,-0.0026,-0.0007,-0.001,0.0034,-0.001,-0.0037,0.0051,0.0051
