a,b,form,signal,n,half_life,cross_rate_per_1k,n_trades_sim,total_pnl_sim,sharpe_sim,corr_with_baseline,sd
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,SLEEP_POD_LAMB_WOOL+SLEEP_POD_NYLON,30000,5402.349847312683,6.366666666666666,22,-535.5,-0.35122043981161083,-0.1733471037011207,798.0190048835871
SLEEP_POD_LAMB_WOOL+SLEEP_POD_NYLON,SLEEP_POD_SUEDE,triple_sum_alt,(SLEEP_POD_LAMB_WOOL+SLEEP_POD_NYLON)/2-SLEEP_POD_SUEDE,30000,5454.397088938986,2.4666666666666663,20,-541.5,-0.335496336123412,-0.508157276357678,951.0356146021862
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread(beta=0.401),SLEEP_POD_LAMB_WOOL-0.401*SLEEP_POD_NYLON,30000,1197.160663437532,10.933333333333334,23,-789.2357452480956,-0.8209702635343358,-0.16676561840938517,359.4286662720483
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread(beta=0.694),SLEEP_POD_COTTON-0.694*SLEEP_POD_NYLON,30000,3539.1211513715675,6.2,17,-898.4308552464918,-0.6425225394946823,-0.026190374920159555,814.5706343910866
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,SLEEP_POD_COTTON+SLEEP_POD_NYLON,30000,8011.018204882458,0.4333333333333333,21,-1046.5,-0.6428483575464101,-0.09794344798443974,1185.6518006994036
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread(beta=0.138),SLEEP_POD_COTTON-0.138*SLEEP_POD_LAMB_WOOL,30000,5271.858691369673,3.266666666666667,19,-1273.8048119046725,-0.9644389364204713,-0.05510366431953987,885.8688058693767
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,SLEEP_POD_COTTON+SLEEP_POD_LAMB_WOOL,30000,3352.6790192644667,5.2,20,-1344.5,-1.0220554843970318,-0.14210759122333788,1002.849910856964
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,SLEEP_POD_LAMB_WOOL-SLEEP_POD_POLYESTER,30000,5400.18499011804,4.966666666666667,24,-1486.5,-0.8806640233073131,-0.46116840478277893,1075.8046609193025
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,SLEEP_POD_COTTON+SLEEP_POD_SUEDE,30000,6864.444650046507,0.7,20,-1560.0,-0.8476934574428209,0.21470177577911068,1648.5935480552978
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread(beta=0.160),SLEEP_POD_NYLON-0.160*SLEEP_POD_POLYESTER,30000,4521.28909485964,6.066666666666666,28,-1617.8242341016867,-2.0637446063765084,-0.2524525294850341,484.0678736014619
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,SLEEP_POD_LAMB_WOOL-SLEEP_POD_NYLON,30000,1454.4863209345538,11.799999999999999,23,-1779.5,-1.5996181854499467,-0.055976400036708736,471.37293044318574
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON+SLEEP_POD_SUEDE,triple_sum,SLEEP_POD_LAMB_WOOL-(SLEEP_POD_NYLON+SLEEP_POD_SUEDE)/2,30000,3534.064863557158,5.066666666666666,20,-1788.5,-1.8314035279649459,-0.4132160210612047,632.6646119311486
SLEEP_POD_COTTON+SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,triple_sum_alt,(SLEEP_POD_COTTON+SLEEP_POD_LAMB_WOOL)/2-SLEEP_POD_NYLON,30000,1688.1842602007496,7.933333333333334,20,-1836.5,-1.6981411349606068,-0.032068905461854154,476.5373385244058
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,SLEEP_POD_NYLON+SLEEP_POD_SUEDE,30000,9315.792942129388,1.0333333333333334,22,-1883.0,-1.6231646965959015,0.3212319205016319,1114.8775742510304
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,SLEEP_POD_COTTON-SLEEP_POD_NYLON,30000,3202.671096146572,4.133333333333334,20,-1902.5,-1.2289918494443282,-0.005037988694963394,829.3591447672567
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread(beta=0.108),SLEEP_POD_NYLON-0.108*SLEEP_POD_SUEDE,30000,5266.92894102937,5.0,29,-1957.1798236024297,-2.306378157254637,-0.20126869921066126,499.4326555173547
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER+SLEEP_POD_SUEDE,triple_sum,SLEEP_POD_COTTON-(SLEEP_POD_POLYESTER+SLEEP_POD_SUEDE)/2,30000,1985.2249057814436,8.1,24,-2034.75,-1.6624508065237287,-0.8833895244929953,536.6719465702164
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread(beta=0.934),SLEEP_POD_POLYESTER-0.934*SLEEP_POD_SUEDE,30000,1319.5801795753146,7.4,21,-2042.4516945805353,-1.7659351531720746,0.054259233210801804,499.4636075715347
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,SLEEP_POD_POLYESTER-SLEEP_POD_SUEDE,30000,1274.2569071633152,8.266666666666667,21,-2058.0,-1.7267731991829194,-0.0006787682065555118,503.0114235579619
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,SLEEP_POD_LAMB_WOOL-SLEEP_POD_SUEDE,30000,5537.816369171581,5.766666666666667,22,-2254.5,-1.9034456581212074,-0.49024063606268337,1012.7037845806002
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,SLEEP_POD_NYLON+SLEEP_POD_POLYESTER,30000,8196.936389520426,1.8333333333333333,24,-2729.5,-1.8350372945599396,0.2901796324844069,1233.0046498292413
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,SLEEP_POD_LAMB_WOOL+SLEEP_POD_POLYESTER,30000,3216.526678705613,5.566666666666666,25,-2805.5,-2.247563169960628,0.31667177642002675,1046.5317754698738
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,SLEEP_POD_NYLON-SLEEP_POD_POLYESTER,30000,3459.6781774754054,2.9333333333333336,27,-3080.5,-2.2307881737004163,-0.49283557842359704,953.1401144284366
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread(beta=0.795),SLEEP_POD_COTTON-0.795*SLEEP_POD_POLYESTER,30000,1131.6345933873356,6.6,28,-4180.335625424129,-3.911961178838268,-0.9060017093545709,429.3720235140163
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,SLEEP_POD_COTTON-SLEEP_POD_POLYESTER,30000,1107.8029537486993,7.9,29,-4769.0,-4.568111034244398,-1.0,473.91966160847744
