cause,effect,lag,pvalue
PEBBLES_L,PEBBLES_XL,5,0.08025769800701132
PEBBLES_XL,PEBBLES_XS,1,0.07310582384525999
PEBBLES_XL,PEBBLES_XS,2,0.19397806153161665
PEBBLES_XL,PEBBLES_XS,3,0.2660346468141982
PEBBLES_XL,PEBBLES_XS,4,0.372027196134321
PEBBLES_XL,PEBBLES_XS,5,0.4935201129968575
PEBBLES_XL,PEBBLES_S,1,0.6735410441404689
PEBBLES_XL,PEBBLES_S,2,0.6483811898867227
PEBBLES_XL,PEBBLES_S,3,0.7956761868579812
PEBBLES_XL,PEBBLES_S,4,0.8806659678944433
PEBBLES_XL,PEBBLES_S,5,0.918139097514659
PEBBLES_XL,PEBBLES_M,1,0.009655559927869475
PEBBLES_XL,PEBBLES_M,2,0.03602432015167046
PEBBLES_XL,PEBBLES_M,3,0.04944963796477972
PEBBLES_XL,PEBBLES_M,4,0.02224298268196028
PEBBLES_XL,PEBBLES_M,5,0.024714507726714394
PEBBLES_XL,PEBBLES_L,1,0.7682833806194685
PEBBLES_XL,PEBBLES_L,2,0.942658291062539
PEBBLES_XL,PEBBLES_L,3,0.7145125366905458
PEBBLES_XL,PEBBLES_L,4,0.8498972184981556
PEBBLES_XL,PEBBLES_L,5,0.6979832267988513
