a,b,family_a,family_b,corr_ret1,corr_ret10,beta_a_on_b,intercept_a_on_b,resid_sd_a_on_b,half_life_a_on_b,beta_b_on_a,resid_sd_b_on_a,half_life_b_on_a,n
PEBBLES_M,SNACKPACK_CHOCOLATE,PEBBLES,SNACKPACK,-0.010535581334806449,-0.03546746849271882,-1.628166272682856,26289.888913345927,605.20781887864,1495.1873936976435,-0.13867290421106354,176.62450536864645,913.0779019448472,30000
ROBOT_VACUUMING,SNACKPACK_PISTACHIO,ROBOT,SNACKPACK,0.013236696911169422,0.035317110053314,1.950277714507113,-9352.756987779607,390.88257305252097,1131.1283666636846,0.239303257262975,136.92173207798945,760.615159099078,30000
SLEEP_POD_POLYESTER,SNACKPACK_CHOCOLATE,SLEEP_POD,SNACKPACK,0.013325594704784225,0.03461958008891926,-2.69540017582916,38372.386626161766,814.1506376620099,1753.7049674072985,-0.11365630864427123,167.18215328596497,871.034929836534,30000
PEBBLES_M,SNACKPACK_VANILLA,PEBBLES,SNACKPACK,0.009258603035277332,0.033815617421355054,1.1775437146874514,-1626.7718715880983,654.908247695226,2082.7229689096635,0.07931924060682514,169.9734988489988,938.3006346372068,30000
OXYGEN_SHAKE_CHOCOLATE,PANEL_2X2,OXYGEN_SHAKE,PANEL,0.0017421524290293857,-0.03379052790026553,-0.5079126010929127,14420.954153229979,443.6278509266921,2287.087167888407,-0.7359083069634903,533.9937354671765,2463.311588336726,30000
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0.008404274879204188,0.03367576397573706,0.08196239719318996,9281.83094204097,322.59756172393867,1360.8676283437255,0.5905686512692798,865.9422895007538,4406.429222954538,30000
OXYGEN_SHAKE_MINT,SNACKPACK_CHOCOLATE,OXYGEN_SHAKE,SNACKPACK,-0.001094137463514367,-0.03267561080116551,1.0640730087159864,-635.6720041918106,461.05796928757405,2133.0796456976036,0.16605761408031183,182.1374350961973,1028.667023450907,30000
MICROCHIP_RECTANGLE,UV_VISOR_RED,MICROCHIP,UV_VISOR,-0.004191346634559898,0.03225800353739846,-0.3253456089522526,12331.833337887132,727.3042780416064,3474.3910363376076,-0.1987106265862934,568.4001890578967,3308.7109344169194,30000
OXYGEN_SHAKE_MINT,TRANSLATOR_VOID_BLUE,OXYGEN_SHAKE,TRANSLATOR,0.001229970452623952,0.03180245076583248,-0.05594494005802665,10445.876653251993,507.0967041603959,3781.4433367766724,-0.0727021974417312,578.074950034295,3731.6813201002774,30000
SLEEP_POD_COTTON,TRANSLATOR_ASTRO_BLACK,SLEEP_POD,TRANSLATOR,0.001687374295395921,0.03169448591276199,-0.7547142214710868,18610.77234337302,807.0817829897682,4123.703759132501,-0.2297200169767806,445.2723193461262,2980.7524445655154,30000
MICROCHIP_OVAL,SLEEP_POD_LAMB_WOOL,MICROCHIP,SLEEP_POD,0.008426675548137072,0.03162493026442683,-0.9934148615745331,18810.569958277018,1496.6502245591792,32443.447149421307,-0.07041290201137783,398.45667875495576,1740.729402660518,30000
PANEL_1X2,SLEEP_POD_COTTON,PANEL,SLEEP_POD,0.015106164655844575,0.031533798166656794,0.007538442777109145,8835.828758422345,589.87865232096,4751.934714163059,0.017069699654811744,887.6357757019573,5069.563962421923,30000
SLEEP_POD_POLYESTER,SNACKPACK_VANILLA,SLEEP_POD,SNACKPACK,0.0054524831994973415,-0.031367760971130455,1.5682919282617107,-3994.957005690394,936.5918221702401,3601.352520548991,0.052300501561051295,171.03690718440708,985.543272848675,30000
PEBBLES_L,UV_VISOR_MAGENTA,PEBBLES,UV_VISOR,0.00491669973899196,0.03128897847927905,0.23817978736174616,7527.506113203572,604.9304874483074,2685.775013600076,0.2315084722910223,596.3983945435658,3064.5423592729867,30000
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_OVAL,GALAXY_SOUNDS,MICROCHIP,0.0004914733083643165,0.03127511965574463,0.06934887991933004,10525.325690809577,437.09567431504433,1529.750300240453,0.8242483408403487,1506.9048263450838,10935.931758961553,30000
OXYGEN_SHAKE_CHOCOLATE,TRANSLATOR_ASTRO_BLACK,OXYGEN_SHAKE,TRANSLATOR,-0.002248495909017466,-0.03126558797723195,-0.17317537069483216,11182.167941573078,554.1489746003557,4622.000044329735,-0.1321658498051988,484.1089339320418,3123.680912250566,30000
MICROCHIP_TRIANGLE,PEBBLES_XL,MICROCHIP,PEBBLES,0.0020074458872384147,0.03121887392942038,-0.2942908052303029,13578.560412980458,648.97068506792,2111.701713541975,-1.3373782779789771,1383.4512668947189,1709.8731318235532,30000
OXYGEN_SHAKE_CHOCOLATE,PANEL_1X4,OXYGEN_SHAKE,PANEL,-0.001716844485233496,0.031191775401702957,-0.26128404566085434,12012.317016280027,516.5125180698819,3876.0196674891076,-0.5783239808117747,768.4400755608053,5618.787498737728,30000
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_STRAWBERRY,GALAXY_SOUNDS,SNACKPACK,0.0137114254354884,0.031135003473637877,0.16479632843726,9328.16192918484,446.1452022075352,1800.8267604116327,0.10750179189049562,360.33820668617756,2331.2700723713388,30000
SNACKPACK_STRAWBERRY,TRANSLATOR_VOID_BLUE,SNACKPACK,TRANSLATOR,0.012324930888924734,-0.030981109902785495,0.5045090695501694,5228.356743903302,216.29097982597264,671.355359570085,1.2806303310370137,344.60042671646596,761.0157776171158,30000
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_ORANGE,GALAXY_SOUNDS,UV_VISOR,-0.005696490534323186,-0.030792116470397556,-0.08418562206679678,11970.333611833408,447.75754541282276,1716.8525193161886,-0.12595065764179772,547.6765804586586,5196.503620013349,30000
PEBBLES_M,SLEEP_POD_COTTON,PEBBLES,SLEEP_POD,-0.00777800582156067,-0.03077891328188055,0.49111596429037513,4601.847934126638,532.0068514241584,1491.5513290914653,0.8180190796120933,686.6049280953289,1911.7743500070662,30000
OXYGEN_SHAKE_GARLIC,UV_VISOR_RED,OXYGEN_SHAKE,UV_VISOR,-0.006939821344697506,-0.03070975218367137,1.1312135990106567,-589.3083846473382,683.2813171684683,2393.497661926196,0.42990730880329325,421.2254972466039,1641.0539259304853,30000
MICROCHIP_SQUARE,PEBBLES_XL,MICROCHIP,PEBBLES,-0.004056812214693286,-0.030554831719340435,0.6534340246369691,4952.698244614798,1415.0045666367312,3522.494177388313,0.6156483090576766,1373.4830829097054,3061.828342595348,30000
