a,b,family_a,family_b,corr_lag0,best_lag,corr_at_best_lag,improvement_vs_lag0
OXYGEN_SHAKE_GARLIC,SLEEP_POD_LAMB_WOOL,OXYGEN_SHAKE,SLEEP_POD,-0.041677206986986695,-1,-0.043020905209032616,0.0013436982220459207
OXYGEN_SHAKE_MINT,TRANSLATOR_VOID_BLUE,OXYGEN_SHAKE,TRANSLATOR,0.031802450765832546,1,0.032921400877541446,0.0011189501117088996
MICROCHIP_CIRCLE,UV_VISOR_YELLOW,MICROCHIP,UV_VISOR,-0.03795953883018249,1,-0.03893328247417784,0.0009737436439953492
PEBBLES_XS,ROBOT_DISHES,PEBBLES,ROBOT,0.040973396309646394,3,0.041908454486807606,0.0009350581771612118
MICROCHIP_SQUARE,SNACKPACK_STRAWBERRY,MICROCHIP,SNACKPACK,-0.041422326550817054,1,-0.042201921942137205,0.0007795953913201509
MICROCHIP_OVAL,SLEEP_POD_LAMB_WOOL,MICROCHIP,SLEEP_POD,0.031624930264426976,1,0.03239072153422089,0.0007657912697939112
PEBBLES_XL,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,0.04003241691255119,1,0.04075912696288379,0.0007267100503326046
SNACKPACK_RASPBERRY,TRANSLATOR_VOID_BLUE,SNACKPACK,TRANSLATOR,0.0392708448758823,2,0.03982615561760543,0.0005553107417231237
SLEEP_POD_POLYESTER,SNACKPACK_VANILLA,SLEEP_POD,SNACKPACK,-0.03136776097113044,4,-0.031904909663861836,0.0005371486927313943
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_M,GALAXY_SOUNDS,PEBBLES,-0.041904464868892856,1,-0.04241623020883478,0.0005117653399419261
SLEEP_POD_COTTON,TRANSLATOR_ASTRO_BLACK,SLEEP_POD,TRANSLATOR,0.03169448591276214,-1,0.032129582394830526,0.0004350964820683881
PANEL_1X4,PEBBLES_S,PANEL,PEBBLES,-0.05642887858158275,1,-0.05667626858954027,0.00024739000795752364
MICROCHIP_SQUARE,SNACKPACK_RASPBERRY,MICROCHIP,SNACKPACK,0.04745901963161347,1,0.04756544494446603,0.00010642531285256357
OXYGEN_SHAKE_CHOCOLATE,PANEL_2X2,OXYGEN_SHAKE,PANEL,-0.03379052790026588,0,-0.03379052790026588,0.0
SLEEP_POD_POLYESTER,SNACKPACK_CHOCOLATE,SLEEP_POD,SNACKPACK,0.03461958008891918,0,0.03461958008891918,0.0
ROBOT_IRONING,UV_VISOR_AMBER,ROBOT,UV_VISOR,0.035797474764676714,0,0.035797474764676714,0.0
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,SLEEP_POD,UV_VISOR,0.03599762492974509,0,0.03599762492974509,0.0
PANEL_1X4,PEBBLES_XL,PANEL,PEBBLES,0.036060306494407536,0,0.036060306494407536,0.0
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,SLEEP_POD,UV_VISOR,0.05216563646720756,0,0.05216563646720756,0.0
ROBOT_DISHES,SLEEP_POD_POLYESTER,ROBOT,SLEEP_POD,-0.0440230062546259,0,-0.0440230062546259,0.0
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,OXYGEN_SHAKE,SNACKPACK,0.03775271301481156,0,0.03775271301481156,0.0
